city_key,pref_code,pref_name,city_code,city_name
1313123,13,東京都,13123,江戸川区
1313201,13,東京都,13201,八王子市
1313202,13,東京都,13202,立川市
1313203,13,東京都,13203,武蔵野市
1313204,13,東京都,13204,三鷹市
1313205,13,東京都,13205,青梅市
1313206,13,東京都,13206,府中市
1313207,13,東京都,13207,昭島市
1313208,13,東京都,13208,調布市
1313209,13,東京都,13209,町田市
1313210,13,東京都,13210,小金井市
1313211,13,東京都,13211,小平市
1313212,13,東京都,13212,日野市
1313213,13,東京都,13213,東村山市
1313214,13,東京都,13214,国分寺市
1313215,13,東京都,13215,国立市
1313218,13,東京都,13218,福生市
1313219,13,東京都,13219,狛江市
1313220,13,東京都,13220,東大和市
1313221,13,東京都,13221,清瀬市
1313222,13,東京都,13222,東久留米市
1313223,13,東京都,13223,武蔵村山市
1313224,13,東京都,13224,多摩市
1313225,13,東京都,13225,稲城市
1313227,13,東京都,13227,羽村市
1313228,13,東京都,13228,あきる野市
1313229,13,東京都,13229,西東京市
1313303,13,東京都,13303,瑞穂町
1313305,13,東京都,13305,日の出町
1313307,13,東京都,13307,檜原村
1313308,13,東京都,13308,奥多摩町
1313361,13,東京都,13361,大島町
1313362,13,東京都,13362,利島村
1313363,13,東京都,13363,新島村
1313364,13,東京都,13364,神津島村
1313381,13,東京都,13381,三宅村
1313382,13,東京都,13382,御蔵島村
1313401,13,東京都,13401,八丈町
1313402,13,東京都,13402,青ヶ島村
1313421,13,東京都,13421,小笠原村
1414000,14,神奈川県,14000,
1414100,14,神奈川県,14100,横浜市
1414130,14,神奈川県,14130,川崎市
1414150,14,神奈川県,14150,相模原市
1414201,14,神奈川県,14201,横須賀市
1414203,14,神奈川県,14203,平塚市
1414204,14,神奈川県,14204,鎌倉市
1414205,14,神奈川県,14205,藤沢市
1414206,14,神奈川県,14206,小田原市
1414207,14,神奈川県,14207,茅ヶ崎市
1414208,14,神奈川県,14208,逗子市
1414210,14,神奈川県,14210,三浦市
1414211,14,神奈川県,14211,秦野市
1414212,14,神奈川県,14212,厚木市
1414213,14,神奈川県,14213,大和市
1414214,14,神奈川県,14214,伊勢原市
1414215,14,神奈川県,14215,海老名市
1414216,14,神奈川県,14216,座間市
1414217,14,神奈川県,14217,南足柄市
1414218,14,神奈川県,14218,綾瀬市
1414301,14,神奈川県,14301,葉山町
1414321,14,神奈川県,14321,寒川町
1414341,14,神奈川県,14341,大磯町
1414342,14,神奈川県,14342,二宮町
1414361,14,神奈川県,14361,中井町
1414362,14,神奈川県,14362,大井町
1414363,14,神奈川県,14363,松田町
1414364,14,神奈川県,14364,山北町
1414366,14,神奈川県,14366,開成町
1414382,14,神奈川県,14382,箱根町
1414383,14,神奈川県,14383,真鶴町
1414384,14,神奈川県,14384,湯河原町
1414401,14,神奈川県,14401,愛川町
1414402,14,神奈川県,14402,清川村
1515000,15,新潟県,15000,
1515100,15,新潟県,15100,新潟市
1515202,15,新潟県,15202,長岡市
1515204,15,新潟県,15204,三条市
1515205,15,新潟県,15205,柏崎市
1515206,15,新潟県,15206,新発田市
1515208,15,新潟県,15208,小千谷市
1515209,15,新潟県,15209,加茂市
1515210,15,新潟県,15210,十日町市
1515211,15,新潟県,15211,見附市
1515212,15,新潟県,15212,村上市
1515213,15,新潟県,15213,燕市
1515216,15,新潟県,15216,糸魚川市
1515217,15,新潟県,15217,妙高市
1515218,15,新潟県,15218,五泉市
1515222,15,新潟県,15222,上越市
1515223,15,新潟県,15223,阿賀野市
1515224,15,新潟県,15224,佐渡市
1515225,15,新潟県,15225,魚沼市
1515226,15,新潟県,15226,南魚沼市
1515227,15,新潟県,15227,胎内市
1515307,15,新潟県,15307,聖籠町
1515342,15,新潟県,15342,弥彦村
1515361,15,新潟県,15361,田上町
