date_key,date,is_holiday,holiday_name,holiday_category
19820211,1982-02-11,True,建国記念の日,国民の祝日
19820321,1982-03-21,True,春分の日,国民の祝日
19820322,1982-03-22,True,休日,国民の祝日
19820429,1982-04-29,True,天皇誕生日,国民の祝日
19820503,1982-05-03,True,憲法記念日,国民の祝日
19820505,1982-05-05,True,こどもの日,国民の祝日
19820915,1982-09-15,True,敬老の日,国民の祝日
19820923,1982-09-23,True,秋分の日,国民の祝日
19821010,1982-10-10,True,体育の日,国民の祝日
19821011,1982-10-11,True,休日,国民の祝日
19821103,1982-11-03,True,文化の日,国民の祝日
19821123,1982-11-23,True,勤労感謝の日,国民の祝日
19830101,1983-01-01,True,元日,国民の祝日
19830115,1983-01-15,True,成人の日,国民の祝日
19830211,1983-02-11,True,建国記念の日,国民の祝日
19830321,1983-03-21,True,春分の日,国民の祝日
19830429,1983-04-29,True,天皇誕生日,国民の祝日
19830503,1983-05-03,True,憲法記念日,国民の祝日
19830505,1983-05-05,True,こどもの日,国民の祝日
19830915,1983-09-15,True,敬老の日,国民の祝日
19830923,1983-09-23,True,秋分の日,国民の祝日
19831010,1983-10-10,True,体育の日,国民の祝日
19831103,1983-11-03,True,文化の日,国民の祝日
19831123,1983-11-23,True,勤労感謝の日,国民の祝日
19840101,1984-01-01,True,元日,国民の祝日
19840102,1984-01-02,True,休日,国民の祝日
19840115,1984-01-15,True,成人の日,国民の祝日
19840116,1984-01-16,True,休日,国民の祝日
19840211,1984-02-11,True,建国記念の日,国民の祝日
19840320,1984-03-20,True,春分の日,国民の祝日
19840429,1984-04-29,True,天皇誕生日,国民の祝日
19840430,1984-04-30,True,休日,国民の祝日
19840503,1984-05-03,True,憲法記念日,国民の祝日
19840505,1984-05-05,True,こどもの日,国民の祝日
19840915,1984-09-15,True,敬老の日,国民の祝日
19840923,1984-09-23,True,秋分の日,国民の祝日
19840924,1984-09-24,True,休日,国民の祝日
19841010,1984-10-10,True,体育の日,国民の祝日
19841103,1984-11-03,True,文化の日,国民の祝日
19841123,1984-11-23,True,勤労感謝の日,国民の祝日
19850101,1985-01-01,True,元日,国民の祝日
19850115,1985-01-15,True,成人の日,国民の祝日
19850211,1985-02-11,True,建国記念の日,国民の祝日
19850321,1985-03-21,True,春分の日,国民の祝日
19850429,1985-04-29,True,天皇誕生日,国民の祝日
19850503,1985-05-03,True,憲法記念日,国民の祝日
19850505,1985-05-05,True,こどもの日,国民の祝日
19850506,1985-05-06,True,休日,国民の祝日
19850915,1985-09-15,True,敬老の日,国民の祝日
19850916,1985-09-16,True,休日,国民の祝日
19850923,1985-09-23,True,秋分の日,国民の祝日
19851010,1985-10-10,True,体育の日,国民の祝日
19851103,1985-11-03,True,文化の日,国民の祝日
19851104,1985-11-04,True,休日,国民の祝日
19851123,1985-11-23,True,勤労感謝の日,国民の祝日
19860101,1986-01-01,True,元日,国民の祝日
19860115,1986-01-15,True,成人の日,国民の祝日
19860211,1986-02-11,True,建国記念の日,国民の祝日
19860321,1986-03-21,True,春分の日,国民の祝日
19860429,1986-04-29,True,天皇誕生日,国民の祝日
19860503,1986-05-03,True,憲法記念日,国民の祝日
19860505,1986-05-05,True,こどもの日,国民の祝日
19860915,1986-09-15,True,敬老の日,国民の祝日
19860923,1986-09-23,True,秋分の日,国民の祝日
19861010,1986-10-10,True,体育の日,国民の祝日
19861103,1986-11-03,True,文化の日,国民の祝日
19861123,1986-11-23,True,勤労感謝の日,国民の祝日
19861124,1986-11-24,True,休日,国民の祝日
19870101,1987-01-01,True,元日,国民の祝日
19870115,1987-01-15,True,成人の日,国民の祝日
19870211,1987-02-11,True,建国記念の日,国民の祝日
19870321,1987-03-21,True,春分の日,国民の祝日
19870429,1987-04-29,True,天皇誕生日,国民の祝日
19870503,1987-05-03,True,憲法記念日,国民の祝日
19870504,1987-05-04,True,休日,国民の祝日
19870505,1987-05-05,True,こどもの日,国民の祝日
19870915,1987-09-15,True,敬老の日,国民の祝日
19870923,1987-09-23,True,秋分の日,国民の祝日
19871010,1987-10-10,True,体育の日,国民の祝日
19871103,1987-11-03,True,文化の日,国民の祝日
19871123,1987-11-23,True,勤労感謝の日,国民の祝日
19880101,1988-01-01,True,元日,国民の祝日
19880115,1988-01-15,True,成人の日,国民の祝日
19880211,1988-02-11,True,建国記念の日,国民の祝日
19880320,1988-03-20,True,春分の日,国民の祝日
19880321,1988-03-21,True,休日,国民の祝日
19880429,1988-04-29,True,天皇誕生日,国民の祝日
19880503,1988-05-03,True,憲法記念日,国民の祝日
19880504,1988-05-04,True,休日,国民の祝日
19880505,1988-05-05,True,こどもの日,国民の祝日
19880915,1988-09-15,True,敬老の日,国民の祝日
19880923,1988-09-23,True,秋分の日,国民の祝日
19881010,1988-10-10,True,体育の日,国民の祝日
19881103,1988-11-03,True,文化の日,国民の祝日
19881123,1988-11-23,True,勤労感謝の日,国民の祝日
19890101,1989-01-01,True,元日,国民の祝日
19890102,1989-01-02,True,休日,国民の祝日
19890115,1989-01-15,True,成人の日,国民の祝日
19890116,1989-01-16,True,休日,国民の祝日
19890211,1989-02-11,True,建国記念の日,国民の祝日
19890224,1989-02-24,True,大喪の礼,国民の祝日
19890321,1989-03-21,True,春分の日,国民の祝日
19890429,1989-04-29,True,みどりの日,国民の祝日
19890503,1989-05-03,True,憲法記念日,国民の祝日
